WEEK,MONTH,YEAR,STORE,CITY,ZIP,BRAND,MOVE,PRICE,QTY,REVENUE,PROFIT,CASE,COSMETIC,HABA,PHARMACY,INCOME,HSIZEAVG,HSIZE1,HSIZE2,HSIZE34,HHLARGE,SINGLE,RETIRED,UNEMP,WORKWOM,WRKCH5,WRKCH17,NWRKCH5,NWRKCH17,WRKCH,NWRKCH,WRKWNCH,move and profit score
173,1,1993,100,CHICAGO,60608.0,RAVE AERO,11,4.0,4,11.0,32.4,24,9791.96,128003.88,40475.0,40.1463,12.3210296,1.03426088,0.87526028,1.22506152,0.86541736,1.4430908,0.75139888,0.9602984,1.06893576,0.26255492,0.40416916,0.450684816,0.29528816,0.66672408,0.74597292,0.759134,43.4
173,1,1993,101,DES PLAINES,60016.0,OTHERS,30,33.96,13,67.17999999999999,294.2399999999999,102,38852.1913,349183.51,154795.03,138.579194,32.722233700000004,3.4776209,4.3598217,3.91400737,1.24854951,3.31557564,2.01577116,1.94092028,5.07084669,0.5592839199999999,1.62058299,0.878526532,0.70306496,2.17986691,1.5815915699999998,3.91841814,324.2399999999999
173,1,1993,101,DES PLAINES,60016.0,RAVE AERO,87,14.0,14,87.0,112.4,108,41840.8214,376043.78,166702.34,149.239132,35.2393286,3.7451302,4.6951926,4.21508486,1.34459178,3.5706199200000004,2.17083048,2.09022184,5.46091182,0.60230576,1.74524322,0.946105496,0.75714688,2.34754898,1.70325246,4.21983492,199.4
173,1,1993,102,MERRIONETTE PARK,60655.0,OTHERS,16,18.25,9,30.65,218.08,84,23574.0582,314417.25,133093.35,94.4446905,24.356601,2.35053108,2.6084976300000005,2.79059175,1.2503793600000002,2.57072832,1.93957335,1.7337172500000002,2.6094972600000004,0.37045521,1.01492757,0.682382475,0.605232,1.38538278,1.28761452,2.0069343,234.08
173,1,1993,102,MERRIONETTE PARK,60655.0,RAVE AERO,20,7.0,7,20.0,56.1,54,18335.3786,244546.75,103517.05,73.4569815,18.944023,1.82819084,2.02883149,2.17046025,0.97251728,1.99945536,1.50855705,1.34844675,2.02960898,0.28813183,0.78938811,0.5307419250000001,0.470736,1.0775199400000002,1.00147796,1.5609489,76.1
173,1,1993,103,BOLINGBROOK,60439.0,OTHERS,16,10.67,8,24.1,161.54,72,12621.68,142651.36,93346.24,84.68196,26.4680976,0.975415648,1.82123064,3.56401872,1.6393348799999998,2.1004304,0.5042342399999998,1.70301888,2.89035416,0.94043584,1.32687656,1.348184,0.5791768,2.26731232,1.9273608,1.25271608,177.54
173,1,1993,103,BOLINGBROOK,60439.0,RAVE AERO,33,8.0,8,33.0,64.3,48,12621.68,142651.36,93346.24,84.68196,26.4680976,0.975415648,1.82123064,3.56401872,1.63933488,2.1004304,0.50423424,1.70301888,2.89035416,0.94043584,1.32687656,1.348184,0.5791768,2.26731232,1.9273608,1.25271608,97.3
173,1,1993,104,ST CHARLES,60174.0,OTHERS,13,8.05,4,29.41,157.42000000000002,36,0.0,56557.36,0.0,42.795412,11.0540428,0.81742132,1.22161736,1.4909042,0.4700571,0.91537368,0.53525936,0.7086014,1.6212276,0.30505526,0.64538568,0.380077,0.25437836,0.95044096,0.63445532,0.88932276,170.42000000000002
173,1,1993,105,MELROSE PARK,60160.0,OTHERS,19,16.61,8,56.57,146.93,66,11961.2,195202.64,93952.872,83.315144,23.422296,1.6545608,2.1849664,2.8817568,1.27871624,2.22135424,1.28948496,1.3883824,2.88712096,0.62312632,1.03783008,0.59172024,0.426124184,1.66095648,1.0178444,1.95892576,165.93
173,1,1993,105,MELROSE PARK,60160.0,RAVE AERO,47,18.0,18,47.0,144.4,126,26912.7,439205.94000000006,211393.962,187.459074,52.700166,3.7227618,4.9161744,6.483952799999999,2.87711154,4.99804704,2.90134116,3.1238604,6.49602216,1.40203422,2.33511768,1.33137054,0.958779414,3.73715208,2.2901499,4.40758296,191.4
